player_id,team_id,first_name,last_name,position,nationality,date_of_birth,jersey_number,is_active
1,1,Player1,Last1,Defender,Netherlands,1985-07-17,84,1
2,1,Player2,Last2,Midfielder,Spain,1986-07-17,49,1
3,1,Player3,Last3,Forward,Italy,1999-05-07,90,1
4,1,Player4,Last4,Forward,India,1983-08-12,51,1
5,1,Player5,Last5,Defender,Germany,1983-01-03,27,1
6,1,Player6,Last6,Midfielder,Argentina,1989-06-04,45,1
7,1,Player7,Last7,Goalkeeper,France,1990-02-24,10,1
8,1,Player8,Last8,Midfielder,Brazil,2004-01-08,53,1
9,1,Player9,Last9,Goalkeeper,Argentina,1994-07-15,91,1
10,1,Player10,Last10,Goalkeeper,Netherlands,1995-11-17,3,1
11,1,Player11,Last11,Forward,France,1998-05-02,51,1
12,1,Player12,Last12,Midfielder,England,1985-01-09,61,1
13,1,Player13,Last13,Goalkeeper,France,1983-07-01,9,1
14,1,Player14,Last14,Forward,Italy,1993-10-08,86,1
15,1,Player15,Last15,Defender,Italy,2003-11-10,7,1
16,1,Player16,Last16,Midfielder,England,2005-09-22,35,1
17,1,Player17,Last17,Defender,Netherlands,1984-11-03,95,1
18,1,Player18,Last18,Forward,France,1993-03-21,48,1
19,1,Player19,Last19,Goalkeeper,India,1988-12-26,49,1
20,1,Player20,Last20,Midfielder,Portugal,1988-09-17,25,1
21,1,Player21,Last21,Forward,Italy,1993-07-08,74,1
22,1,Player22,Last22,Defender,Italy,2005-01-27,34,1
23,1,Player23,Last23,Midfielder,Italy,1994-02-08,85,1
24,1,Player24,Last24,Midfielder,India,1989-11-17,23,1
25,1,Player25,Last25,Midfielder,Germany,2000-08-10,42,1
26,2,Player26,Last26,Midfielder,France,1999-09-09,46,1
27,2,Player27,Last27,Midfielder,Netherlands,1991-04-05,93,1
28,2,Player28,Last28,Defender,Netherlands,1989-02-03,68,1
29,2,Player29,Last29,Midfielder,Portugal,1986-03-20,5,1
30,2,Player30,Last30,Midfielder,Netherlands,2002-05-22,84,1
31,2,Player31,Last31,Forward,Portugal,1997-11-05,27,1
32,2,Player32,Last32,Goalkeeper,Spain,2001-01-23,14,1
33,2,Player33,Last33,Forward,India,2002-12-08,33,1
34,2,Player34,Last34,Defender,Brazil,2003-08-06,33,1
35,2,Player35,Last35,Midfielder,Germany,1988-09-15,46,1
36,2,Player36,Last36,Defender,Netherlands,1986-09-01,2,1
37,2,Player37,Last37,Midfielder,France,2003-03-20,93,1
38,2,Player38,Last38,Midfielder,France,1990-10-07,95,1
39,2,Player39,Last39,Midfielder,Brazil,1999-05-03,93,1
40,2,Player40,Last40,Forward,Germany,1991-09-11,57,1
41,2,Player41,Last41,Forward,Brazil,2003-05-09,82,1
42,2,Player42,Last42,Defender,England,2003-10-23,27,1
43,2,Player43,Last43,Defender,England,1987-05-27,47,1
44,2,Player44,Last44,Goalkeeper,Portugal,1993-11-14,1,1
45,2,Player45,Last45,Forward,France,1992-05-24,38,1
46,2,Player46,Last46,Defender,Spain,1994-09-20,21,1
47,2,Player47,Last47,Goalkeeper,France,1995-08-26,1,1
48,2,Player48,Last48,Defender,Portugal,1997-02-22,15,1
49,2,Player49,Last49,Defender,Argentina,1984-02-25,68,1
50,2,Player50,Last50,Goalkeeper,Germany,1999-12-20,1,1
51,3,Player51,Last51,Forward,India,1995-11-24,20,1
52,3,Player52,Last52,Defender,Argentina,1996-03-10,58,1
53,3,Player53,Last53,Forward,Portugal,1998-03-03,28,1
54,3,Player54,Last54,Goalkeeper,England,1994-12-13,29,1
55,3,Player55,Last55,Goalkeeper,Portugal,1990-01-28,10,1
56,3,Player56,Last56,Goalkeeper,Germany,1989-06-24,33,1
57,3,Player57,Last57,Goalkeeper,Spain,1993-02-09,11,1
58,3,Player58,Last58,Forward,Germany,1992-03-13,37,1
59,3,Player59,Last59,Forward,France,1992-07-15,93,1
60,3,Player60,Last60,Defender,Netherlands,2001-05-07,13,1
61,3,Player61,Last61,Midfielder,Argentina,1992-06-19,52,1
62,3,Player62,Last62,Goalkeeper,France,1987-03-14,75,1
63,3,Player63,Last63,Goalkeeper,Portugal,1983-12-24,29,1
64,3,Player64,Last64,Midfielder,Italy,1996-12-04,40,1
65,3,Player65,Last65,Midfielder,Italy,2003-12-18,41,1
66,3,Player66,Last66,Midfielder,England,2000-03-15,77,1
67,3,Player67,Last67,Forward,Italy,1990-10-07,4,1
68,3,Player68,Last68,Defender,France,1984-01-19,57,1
69,3,Player69,Last69,Forward,Brazil,2005-05-21,58,1
70,3,Player70,Last70,Midfielder,France,1997-11-24,93,1
71,3,Player71,Last71,Forward,Brazil,2005-03-08,94,1
72,3,Player72,Last72,Goalkeeper,France,1988-01-12,11,1
73,3,Player73,Last73,Forward,Germany,1986-02-01,34,1
74,3,Player74,Last74,Midfielder,Brazil,1995-01-19,81,1
75,3,Player75,Last75,Midfielder,Spain,1989-07-23,41,1
76,4,Player76,Last76,Goalkeeper,Netherlands,1992-07-27,74,1
77,4,Player77,Last77,Midfielder,Netherlands,2004-06-10,91,1
78,4,Player78,Last78,Goalkeeper,Germany,1985-08-17,79,1
79,4,Player79,Last79,Forward,Spain,1987-10-14,45,1
80,4,Player80,Last80,Defender,Portugal,1994-07-08,71,1
81,4,Player81,Last81,Goalkeeper,England,1991-06-06,39,1
82,4,Player82,Last82,Goalkeeper,England,1989-01-19,39,1
83,4,Player83,Last83,Midfielder,Germany,1984-11-17,28,1
84,4,Player84,Last84,Defender,Portugal,1990-01-01,23,1
85,4,Player85,Last85,Midfielder,Netherlands,1999-05-21,88,1
86,4,Player86,Last86,Goalkeeper,India,1998-01-26,76,1
87,4,Player87,Last87,Goalkeeper,Brazil,1995-10-05,15,1
88,4,Player88,Last88,Defender,Germany,1994-03-14,21,1
89,4,Player89,Last89,Forward,Italy,2002-10-22,7,1
90,4,Player90,Last90,Forward,Italy,1994-04-03,74,1
91,4,Player91,Last91,Forward,Brazil,2003-12-20,85,1
92,4,Player92,Last92,Goalkeeper,India,1996-05-10,35,1
93,4,Player93,Last93,Forward,England,1986-03-18,26,1
94,4,Player94,Last94,Goalkeeper,India,1985-05-03,7,1
95,4,Player95,Last95,Goalkeeper,Spain,1990-01-28,98,1
96,4,Player96,Last96,Midfielder,Portugal,2000-07-10,78,1
97,4,Player97,Last97,Forward,England,1984-01-12,14,1
98,4,Player98,Last98,Defender,Brazil,1983-07-23,1,1
99,4,Player99,Last99,Goalkeeper,Brazil,1991-03-28,86,1
100,4,Player100,Last100,Goalkeeper,Argentina,2002-08-08,79,1
101,5,Player101,Last101,Goalkeeper,Italy,1990-08-22,84,1
102,5,Player102,Last102,Forward,Portugal,1983-10-17,12,1
103,5,Player103,Last103,Midfielder,Netherlands,2005-09-28,59,1
104,5,Player104,Last104,Forward,Netherlands,2004-02-09,50,1
105,5,Player105,Last105,Defender,Netherlands,1992-04-06,7,1
106,5,Player106,Last106,Forward,Netherlands,1986-06-15,84,1
107,5,Player107,Last107,Forward,Brazil,2001-10-25,21,1
108,5,Player108,Last108,Midfielder,France,1997-12-09,41,1
109,5,Player109,Last109,Defender,Argentina,1991-12-04,72,1
110,5,Player110,Last110,Defender,Portugal,1992-01-03,73,1
111,5,Player111,Last111,Forward,Netherlands,1988-12-15,33,1
112,5,Player112,Last112,Goalkeeper,Brazil,1988-06-14,51,1
113,5,Player113,Last113,Forward,Netherlands,1988-03-22,46,1
114,5,Player114,Last114,Forward,Italy,1999-08-11,56,1
115,5,Player115,Last115,Midfielder,Italy,1994-07-17,76,1
116,5,Player116,Last116,Midfielder,Germany,2001-12-15,33,1
117,5,Player117,Last117,Defender,England,2005-10-08,12,1
118,5,Player118,Last118,Midfielder,Portugal,2003-04-02,89,1
119,5,Player119,Last119,Goalkeeper,England,1994-03-27,82,1
120,5,Player120,Last120,Defender,Brazil,1998-04-14,59,1
121,5,Player121,Last121,Forward,Spain,1984-01-09,75,1
122,5,Player122,Last122,Forward,Germany,1985-11-03,73,1
123,5,Player123,Last123,Forward,India,1986-11-19,8,1
124,5,Player124,Last124,Goalkeeper,India,1994-02-11,81,1
125,5,Player125,Last125,Forward,Germany,2001-08-13,49,1
126,6,Player126,Last126,Midfielder,Brazil,2000-06-06,80,1
127,6,Player127,Last127,Midfielder,Portugal,2001-04-18,66,1
128,6,Player128,Last128,Midfielder,India,1998-08-17,4,1
129,6,Player129,Last129,Midfielder,France,1986-12-22,18,1
130,6,Player130,Last130,Defender,Portugal,1998-06-18,40,1
131,6,Player131,Last131,Defender,France,1990-05-10,80,1
132,6,Player132,Last132,Midfielder,Spain,2003-03-10,29,1
133,6,Player133,Last133,Defender,France,1989-12-12,97,1
134,6,Player134,Last134,Midfielder,Brazil,1991-09-19,78,1
135,6,Player135,Last135,Midfielder,Netherlands,1986-12-15,83,1
136,6,Player136,Last136,Goalkeeper,Brazil,1990-06-23,75,1
137,6,Player137,Last137,Midfielder,Argentina,2002-09-11,28,1
138,6,Player138,Last138,Midfielder,Spain,1989-06-05,30,1
139,6,Player139,Last139,Goalkeeper,Spain,1988-10-09,36,1
140,6,Player140,Last140,Defender,Spain,1993-11-22,58,1
141,6,Player141,Last141,Forward,Italy,1983-02-17,99,1
142,6,Player142,Last142,Midfielder,Portugal,2004-07-24,27,1
143,6,Player143,Last143,Defender,Germany,2005-06-08,36,1
144,6,Player144,Last144,Goalkeeper,France,1993-09-20,22,1
145,6,Player145,Last145,Goalkeeper,Italy,1990-12-13,28,1
146,6,Player146,Last146,Defender,Portugal,2005-02-25,1,1
147,6,Player147,Last147,Midfielder,Spain,1999-07-18,70,1
148,6,Player148,Last148,Forward,Brazil,1992-08-26,80,1
149,6,Player149,Last149,Midfielder,France,2003-03-05,52,1
150,6,Player150,Last150,Midfielder,England,1983-09-25,64,1
151,7,Player151,Last151,Defender,England,1984-03-02,5,1
152,7,Player152,Last152,Defender,Argentina,1992-08-20,98,1
153,7,Player153,Last153,Defender,England,1998-04-08,54,1
154,7,Player154,Last154,Goalkeeper,Italy,2003-02-26,99,1
155,7,Player155,Last155,Goalkeeper,Germany,1993-06-06,85,1
156,7,Player156,Last156,Goalkeeper,Germany,1984-08-14,29,1
157,7,Player157,Last157,Forward,Brazil,1987-07-16,95,1
158,7,Player158,Last158,Forward,Argentina,1995-03-11,60,1
159,7,Player159,Last159,Forward,France,1995-01-28,91,1
160,7,Player160,Last160,Defender,Brazil,1993-08-08,29,1
161,7,Player161,Last161,Forward,Spain,1999-04-01,11,1
162,7,Player162,Last162,Defender,Germany,1996-01-01,8,1
163,7,Player163,Last163,Goalkeeper,Netherlands,1990-09-25,75,1
164,7,Player164,Last164,Midfielder,India,1984-12-11,40,1
165,7,Player165,Last165,Defender,Argentina,2001-05-22,32,1
166,7,Player166,Last166,Goalkeeper,Italy,1991-02-20,12,1
167,7,Player167,Last167,Midfielder,Argentina,1989-06-03,55,1
168,7,Player168,Last168,Goalkeeper,France,1985-03-20,12,1
169,7,Player169,Last169,Forward,Portugal,1998-05-04,87,1
170,7,Player170,Last170,Forward,Germany,1993-09-04,46,1
171,7,Player171,Last171,Defender,Brazil,2001-05-01,70,1
172,7,Player172,Last172,Defender,France,1997-07-21,99,1
173,7,Player173,Last173,Goalkeeper,India,2004-08-22,55,1
174,7,Player174,Last174,Midfielder,England,1985-07-04,63,1
175,7,Player175,Last175,Forward,Italy,1995-07-08,17,1
176,8,Player176,Last176,Forward,England,1992-12-14,99,1
177,8,Player177,Last177,Goalkeeper,Portugal,1985-10-24,51,1
178,8,Player178,Last178,Defender,Brazil,1994-07-22,49,1
179,8,Player179,Last179,Goalkeeper,Germany,1989-05-11,47,1
180,8,Player180,Last180,Defender,Italy,1997-08-11,12,1
181,8,Player181,Last181,Defender,Spain,1994-11-12,90,1
182,8,Player182,Last182,Forward,France,1990-11-05,53,1
183,8,Player183,Last183,Forward,Brazil,1999-02-05,59,1
184,8,Player184,Last184,Midfielder,Portugal,1984-10-14,76,1
185,8,Player185,Last185,Forward,Brazil,1999-05-16,44,1
186,8,Player186,Last186,Midfielder,Germany,2000-02-04,85,1
187,8,Player187,Last187,Midfielder,India,2001-11-24,73,1
188,8,Player188,Last188,Goalkeeper,France,1985-03-16,90,1
189,8,Player189,Last189,Midfielder,Germany,2005-06-13,36,1
190,8,Player190,Last190,Goalkeeper,Italy,1999-03-09,1,1
191,8,Player191,Last191,Midfielder,Germany,1995-11-13,74,1
192,8,Player192,Last192,Midfielder,India,2002-10-15,53,1
193,8,Player193,Last193,Goalkeeper,France,1992-06-13,91,1
194,8,Player194,Last194,Midfielder,Germany,1996-07-15,34,1
195,8,Player195,Last195,Goalkeeper,India,2005-07-27,49,1
196,8,Player196,Last196,Goalkeeper,Argentina,1995-11-26,62,1
